Название,Жанр,Режиссёр,Страна,Год
Дети кукурузы,"сверхъестественный,психологический,слэшер,триллер",Фриц Кирш,,1984
Дети капитана Гранта,приключенческий фильм,Владимир Вайншток,,
Дети Земли,драма,Ходжа Ахмад Аббас,Британская Индия,1946
Дети живых мертвецов,"фильм ужасов,триллер",Тор Рэмси,США,2001
Дети капитана Гранта,приключения,", ,, ",Франция,1913
Дети железной дороги,"детский фильм,драматический фильм,[d]",Лайонел Джеффрис,,1970
Дети Дюны,фантастика,Грег Яйтанс,,"16 марта,2003,26 марта,2003"
Дети Графства Паука,фантастика,Леонард Хорн,,1964
Дети греха,"драма,притча",Годердзи Чохели,СССР,1989
Дети века,"драма,мелодрама,фильм-биография",Диана Кюрис,,1999
Дети во все времена года,драма,Хироси Симидзу,Япония,1939
Дети Ванюшина,драма,Евгений Ташков,СССР,1973
Дети Дон Кихота,Трагикомедия,Евгений Карелов,СССР,1965
Дети века,"драма,мелодрама",Евгений Бауэр,Российская империя,1915
Дети в стране игрушек,"приключенческий фильм,семейный фильм,фэнтези",Клайв Доннер,США,ФРГ
Дети Бога,драма,Карим Мортимер,Багамские Острова,2010
Дети блокады,документальный сериал,Алла Чикичева,Россия,
Дети без присмотра,комедия,Пол Фиг,США,2006
Дети балета,детский фильм,Астрид Хеннинг-Енсен,,1954
Дети,фильм ужасов,Макс Калманович,США,1980
Детектор лжи,"криминальный фильм,драма", ,"США,Италия,Испания,Швеция,Бельгия,Бельгия,Великобритания,Франция,Япония,Аргентина,Германия,Швейцария,Исландия,Нидерланды,Турция,Италия,Россия",1997
Детективная история,"Фильм нуар,Драма",Уильям Уайлер,,1951
Десять заповедей,"эпос,драма",Сесил Демилль,США,1923
Десять,драма,Аббас Киаростами,,2002
Десятый шаг,драма,Виктор Ивченко,СССР,1967
Десятка,"комедия,мелодрама,эротика",Блейк Эдвардс,США,1979
Десятиминутный разговор,комедийный фильм,Джамиль ван Вейнгарден,,"2 октября,2018"
Десятидюймовый герой,"комедия,мелодрама,драма",Дэвид Маккей,США,2007
Десять заповедей,комедия,Дэвид Уэйн,США,2007
Десять заповедей,пеплум,Сесил Б. Демилль,,1956
Десант,Боевик,Лейла Аранышева,Казахстан,2000
Дерущиеся друзья,комедия,Ясудзиро Одзу,Япония,1929
Десятая жертва,"фантастика,боевик,триллер,комедия",Элио Петри,"Италия,Франция",1965
Дестри снова в седле,"кинокомедия,вестерн",Джордж Маршалл,,1939
Дестини включает радио,комедия,Джек Бэран,,1995
Десперадо-Сити,драматический фильм,Вадим Гловна,,1981
Десница великого мастера,Исторический фильм,"Вахтанг Таблиашвили,Деви Абашидзе",СССР,1969
Десантник Стёпочкин,документальный,"Тимур Курбаналиев,Виктор Хоменко, ,Тимур Курбаналиев",Россия,2009
,,,,
Дерсу Узала,"драма,приключения","Акира Куросава,Владимир Васильев","СССР,Япония",1975
,,,,
,,,,
"Дикие тигры, которых я знал",драма,Кэм Арчер,США,2006
Дикий,"драма,ЛГБТ-тематика в кино",Камиль Видаль-Наке,Франция,2018
Дикий,мелодрама,Наградж Манджуле,Индия,2016
Дикие сердцем,,Дэвид Линч,США,1990
Дикий,боевик,Лин Одинг,Канада,2018
Дикие постели,комедия,Луиджи Дзампа,"Италия,Испания",1979
Дикие пальмы,"драма,детектив,кинофантастика","Кейт Гордон ,Фил Джоанью",,"16 мая,1993,20 мая,1993"
Дикие орхидеи,"драма,мелодрама",Сидни Франклин,США,1929
Дикие ночи,драма,Сирил Коллар,"Франция,Италия",1992
Дикие мальчишки,"приключенческий фильм,драматический фильм",Бертран Мандико,,"2017,23 мая,2019"
Дикие лебеди,"фильм-сказка, экранизация",Хелле Мурдмаа,СССР,1987
Дикие коты,комедия,Майкл Ритчи,США,1986
Дистанционное управление,комедия,Тед Николау,США,1993
Дикие истории,"комедия,драма,киноальманах,триллер",Дамиан Сифрон,,2014
Для всего человечества,документальный фильм,Эл Райнерт,,1989
Дневник директора школы,Киноповесть,Борис Фрумин,СССР,1975
Дневник карьеристки,"комедия,мелодрама",Дана Ластиг,США,2005
Дневники принцессы,"комедия,история взросления",Гарри Маршалл,США,2001
Дневник Карлоса Эспинолы,драматический фильм,Валентин Селиванов,СССР,1976
Дневник камикадзе,"драма,детектив",Дмитрий Месхиев,Россия,2002
Дневник его жены,"драма,фильм-биография",Алексей Учитель,Россия,"Полторы комнаты, или Сентиментальное путешествие на родину"
Дни грома,"триллер,боевик",Гэри Хадсон,,1986
Дневные звёзды,"биографическая,драма",Игорь Таланкин,СССР,1966
Днепровский рубеж,"Военная,драма",Денис Скворцов,,2009
Дневной свет,"фильм-катастрофа,боевик,триллер",Роб Коэн,США,1996
Дни вина и роз,драма,Блейк Эдвардс,,1962
,,,,
Днестровские мелодии,музыкальный фильм,Ион Мижа,,
Дневной поезд,мелодрама,Инесса Селезнёва,СССР,1976
Дневной Дозор,городское фэнтези,Тимур Бекмамбетов,Россия,2005
Дневники принцессы 2: Как стать королевой,романтическая комедия,Гарри Маршалл,США,2004
Дневники няни,"комедия,драма","Шари Спрингер Берман,Роберт Пульчини",США,2007
Дневники Оды,"драматический фильм,[3]",Крис Краус,,"16 сентября,2010,3 февраля,2011"
Дневники Мумбая,драма,Киран Рао,Индия,2011
Дневники мертвецов,"фильм о зомби,найденная плёнка",Джордж Ромеро,США,2007
Дневники Красной Туфельки,мелодрама,Залман Кинг,,1992
Дневники зомби 2: Мир мёртвых,"фильм о зомби,зомби-апокалипсис,найденная плёнка","Майкл Г. Бартлетт,Кевин Гейтс",Великобритания,2011
Дневники зомби,"фильм о зомби,зомби-апокалипсис,найденная плёнка","Майкл Г. Бартлетт,Кевин Гейтс",Великобритания,2006
Дневник баскетболиста,драма,[en],США,1995
"Дневник, письмо и первоклассница",детский фильм,Хабиб Файзиев,СССР,1984
Дневник черепахи,"романтическая комедия,драматический фильм,фильм ужасов","Джон Ирвин,[2]",,"1985,26 мая,1988"
Дневник террориста,драма,Пэт О'Коннор,"Великобритания,Ирландия",1984
Дневник слабака 3,комедия,Дэвид Бауэрс,,2012
Дневник слабака 2: Правила Родрика,комедия,Дэвид Бауэрс,США,2011
Дневник слабака,"комедия,семейный",Тор Фреденталь,США,2010
Дневник сельского священника,драма,Робер Брессон,Франция,1950
Дневник режиссёра,документальный,Федерико Феллини,Италия,1969
Дневник поруганной женщины,драма,Александр Аркатов,Российская империя,1915
Дневник полицейского,фильм-драма,Сэйдзи Хисамацу,Япония,
Дневник пастыря,драма,Пол Шредер,,2017
Дневник памяти,"мелодрама,саундтрек","Ник Кассаветис,[1],[2],[…]","США,США",2004
Дневник пани Ганки,"кинокомедия,мелодрама",Станислав Ленартович,Польша,1963
Дневник одного старика,драма,Бернар Эмон,Канада,2015
Дневник наёмного убийцы,"драма,неонуар",Рой Лондон,США,1991
Дневник нудистки,"мелодрама,эротика",Дорис Уишман,США,1961
Дневник моего ума,драматический фильм,Урсула Майер,,"27 января,2018"
Дневник Машиниста,"черная комедия, драма",Милош Радович,"Сербия,Хорватия",2016
Дневник лесбиянки,драма,Хесус Гарай,Испания,2009
Дневник крестокрада,,Грач Кешишян,,2010
Дневник девочки-подростка,комедия-драма,Мариэль Хеллер,США,
Дневник Глумова,короткометражный,Сергей Эйзенштейн,СССР,1923
Дневник вампирши,Ужасы,"Марк Джеймс , Фил О'Шей",Великобритания,
Дневник горничной,драма,Бенуа Жако,"Франция,Бельгия",
Дневник горничной,драма,Луис Бунюэль,"Франция,Италия",1964
Дневник горничной,драма,Жан Ренуар,США,1946
Дневник вора из Синдзюку,драма,Нагиса Осима,Япония,1969
Дневник Бриджит Джонс,"романтическая комедия,мелодрама",Шэрон Магуайр,"Великобритания,Ирландия,Франция,США",2001
Дом на Турецкой улице,"боевик,криминальный фильм,драма,триллер,музыкальный фильм",Боб Рейфелсон,США,2002
Дом на Трубной,сатирическая комедия,Борис Барнет,,1928
Дом на продажу,триллер,Сюзанн Кут,США,Википедия:К удалению/14 апреля 2023
Дом на Телеграфном холме,Фильм нуар,Роберт Уайз,США,
Дом на улице Шлуш,драма,Моше Мизрахи,,1973
Дом на улице Вязов,драма,Эрик Тессьер,Канада,2009
Дом на Лесной,"исторический фильм,драма",Николай Санишвили,СССР,1980
,,,,
Домино,"криминальный фильм,триллер",Брайан Де Пальма,"Дания,Франция,Италия,Бельгия,Нидерланды",2019
Доминика,"фэнтези,драма,комедия",Олег Агейчев,Россия,2017
Дом на Кэрролл-Стрит,триллер,Питер Йетс,США,1988
Домовёнок Кузя,сказка,Виктор Лакисов,Россия,2024
До́мино,"боевик,криминальный фильм,фильм-биография,драма,триллер",Тони Скотт,США,2005
Доминус,фантастика," , ",СССР,1990
Доминик и Юджин,драма,Роберт М. Янг,,1988
Доминик,"фильм ужасов,триллер",Майкл Андерсон,,"1979,1978"
Домашняя вечеринка,комедия,[en],США,2023
Домик в дюнах,драма,"Аркадий Кольцатый,Анатолий Маркелов",СССР,1963
Домашняя работа,"драма,мелодрама",Гэвин Вьесен,США,2011
Домашняя вечеринка 3,"комедия,музыка",Эрик Меса,США,1994
Домик у моря,мелодрама,Ли Хён Сын,,2000
Домашняя игра,"комедия,спорт","Чарльз Фрэнсис Киннэйн , Дэниел Киннэйн",США,2022
Домашняя вечеринка 2,"комедия,музыка","Даг МакГенри,Джордж Джексон",США,1991
Домик в Коломне,Комедия,Пётр Чардынин,Российская империя,1913
Домашняя вечеринка,"комедия,музыка",[en],США,1990
Домашний очаг,боевик,[en],Индия,2005
Домашний уход,драма,Славек Горак,"Чехия,Словакия",2015
Домашний арест,комедия,Гарри Уайнер,,1996
Домашние фильмы,"комедийный фильм,биографический фильм","Брайан Де Пальма,[2],[3]",,"1980,15 мая,1981"
Домашнее видео: Только для взрослых,комедия,Джейк Кэздан,США,2014
"Дом, милый дом",фильм-драма,Фатон Байрактари,,2016
"Дом, милый дом","комедийный фильм,[1]",Бенуа Лами,,"1973,1973"
"Дом, который стрелял",художественный,Георгий Газарян,,2009
"Дом, который построил Свифт","Сатирическая,комедия",Марк Захаров,СССР,
"Дом, который построил Джек",психологический триллер,Ларс фон Триер,,2018
"Дом, который построил Джек",Короткометражный фильм,Джордж Альберт Смит,Великобритания,1900
"Дом, где стекает кровь",фильм ужасов,Питер Даффелл,,1970
"Дом, где падает кровь","слэшер,триллер","Стивен Карпентер,Джеффри Оброу",США,1982
"Дом, в котором я живу",кинороман,"Лев Кулиджанов,Яков Сегель",СССР,1957
Дом Gucci,"драматический фильм,биографический фильм,[d]",Ридли Скотт,США,2021
Дом ярости,"боевик,комедия",Стивен Фун,Гонконг,2005
Дом чисел,Фильм нуар,Расселл Раус,,1957
Дом чисел,Документальный фильм,Brent Leung,США,2009
Дом храбрых,"драма,военный фильм",Ирвин Уинклер,США,2006
Дом Хемингуэй,"комедия,криминал,драма",[en],Великобритания,2013
Дом Франкенштейна,"Ужасы,Фантастика",Эрл С. Кентон,,1944
Дом ужасов доктора Террора,фильм ужасов,Фредди Фрэнсис,Великобритания,1965
Дом у реки,"драма, экранизация, военный фильм",Роланд Грёф,ГДР,1986
Дом у реки,"Готическая,криминальная драма,Фильм нуар",Фриц Ланг,,1950
Дом у дороги,боевик,Роуди Херрингтон,США,1989
Дом у озера,"драма,мелодрама,альтернативная история",Алехандро Агрести,США,2006
Дом у дороги,"боевик,драматический фильм",Даг Лайман,,2023
Дом у болота,фильм ужасов,Алекс Маколи,США,2021
Дом терпимости,драма,Бертран Бонелло,Франция,2011
Дом тёмных бабочек,драма,Доме Карукоски,Финляндия,2008
"Дом там, где сердце",комедия,Джон Бурмен,США,1990
Дом страхов,"фильм ужасов,триллер",Райан Литтл,США,2007
Дом страха,"эротика,триллер",Билл Батлер,,2004
Дом странных детей мисс Перегрин,"фэнтези,приключения",Тим Бёртон,США,2016
Дом Солнца,драма,Гарик Сукачёв,Россия,2010
Дом со смеющимися окнами,фильм ужасов,Пупи Авати,,1976
Дом смерти Амитивилля,фильм ужасов,Марк Полония,,2015
Дом святого Казимира,"историческая,драма,биография",Игнацы Гоголевский,Польша,1983
Дом с привидениями,школьная драма,Ефим Гальперин,,1987
Дом с привидениями,фильм ужасов,Умберто Ленци,"США,Италия",1987
Дом с привидениями,комедия,"Клайн, Эдвард, , , (",,1921
Дом с паранормальными явлениями 2,Комедия,Майкл Тиддес,США,2014
Дом с мезонином,Мелодрама,Яков Базелян,СССР,1960
Дом с паранормальными явлениями,комедия,Майкл Тиддес,США,2013
Дом с ловушками,"боевик,приключенческий фильм",Чжан Чэ,Гонконг,1982
Дом с закрытыми ставнями,драматический фильм,Дэвид Уорк Гриффит,США,1910
Дом с жёлтым ковром,триллер,Карло Лидзани,,1983
Дом призраков 3D,фильм ужасов,Викрам Бхатт,Индия,2011
Дом с башенкой,"драма,военный,экранизация",Ева Нейман,Украина,2011
Дом призраков,"фильм ужасов,триллер",Виктор Сальва,США,2014
Дом потерянных душ,детектив,Иржи Ганибал,,1967
Дом проклятых,[d],Скотт П. Леви,,1996
Дом призраков,"триллер,драма",Льюис Гилберт,,1995
Дом призраков,"фильм ужасов,триллер",Рич Рэгсдэйл,США,2017
Дом последнего шанса,комедия,Жан-Поль Полен,Франция,1947
Дом под жарким солнцем,психологическая драма,",",СССР,1977
Дом паромщика,драма,Жерар Буржуа,Франция,1915
Дом под звёздным небом,"комедия,драма,мюзикл,фантастика,фантасмагория",Сергей Соловьёв,СССР,1991
Дом под деревьями,драма,Рене Клеман,,"1971,1971,9 июня,1971,5 ноября,1971,4 декабря,1971,14 января,1972,4 февраля,1972,18 февраля,1972,2 марта,1972,22 марта,1972,21 апреля,1972,9 октября,1972,25 октября,1972"
Дом ночных призраков,"фильм ужасов,триллер,фильм ужасов,[4],[5],[…],фильм-триллер,[6],[d]",Уильям Мэлоун,"США,США",1999
Дом о семи фронтонах,"Готическая,мелодрама,Триллер",Джо Мэй,,1940
Дом повешенной на Больничном Спуске,кинодетектив,Кон Итикава,Япония,
Дом на холме призраков,фильм ужасов,Уильям Касл,США,1959
Дом Нины,"драма,военный фильм",Ришар Дембо,Франция,2005
Дом незнакомцев,"нуар,драма",Джозеф Лео Манкевич,США,1949
Дом напротив,киноповесть,Аян Шахмалиева,СССР,1958
Дом на краю света,мелодрама,Майкл Майер,США,2004
Дом на краю парка,"ужасы,триллер",Руджеро Деодато,,1980
Дом на краю кладбища,фильм ужасов,Лучо Фульчи,Италия,1981
Дом на колёсах,комедийная драма,"Франсуа Пиро,[1],[2]",,2012
Дом на камне,[d],Александр Хряков,Россия,1994
Дом на другой стороне,"фильм-триллер,мистический фильм",Дэвид Брункер,"США,Великобритания",2020
Дом на вулкане,драма,Амо Бек-Назарян,СССР,1928
Дом на 92-й улице,"Фильм нуар,Шпионский фильм",Генри Хэтэуэй,США,1945
Дом мертвецов,фильм ужасов,Уве Болл,,2003
Дом мёртвых 2,"зомби,экшн,фильм ужасов",Майкл Херст,США,2005
Дом мастера,"документальный,биография",Марианна Киреева,Россия,1998
Дом мальчиков,драма,Жан-Клод Шлим,"Германия,Люксембург",2009
Дом любви...Полиция вмешивается,триллер,Ренато Польселли,,1978
Дом летающих кинжалов,"боевик,приключенческий фильм,драма,Уся",Чжан Имоу,"Китай,Гонконг",2004
Дом клоунов,слэшер,Виктор Сальва,,1988
Дом из песка и тумана,драма,Вадим Перельман,США,2003
Дом из осколков,документальный фильм,Саймон Леренг Вильмонт,,2022
Дом из костей,фильм ужасов,Джеффри Скотт Ландо,США,2010
Дом из бамбука,Фильм нуар,Сэмюэл Фуллер,США,1955
Дом игр,триллер,Дэвид Мэмет,США,1987
Дом и хозяин,"киноповесть, драма",Будимир Метальников,СССР,1967
Дом и мир,драматический фильм,"Сатьяджит Рай,[1],[2]",,1984
Дом духов,мелодрама,Билле Аугуст,"Португалия,Германия,Дания,США",1993
Дом дураков,драма,Андрей Кончаловский,"Россия,Франция",2002
Дом для богатых,драма,Владимир Фокин,Россия,2000
Дом Дракулы,"Ужасы,Фантастика",Эрл С. Кентон,,1945
Дом грёз,триллер,Джим Шеридан,"США,Канада",2011
Дом восковых фигур,"Слэшер,[1],[2]",Жауме Кольет-Серра,"США,Австралия","26 апреля,2005,2 июня,2005"
Дом восковых фигур,"ужасы,триллер,драма",Андре де Тот,,1953
Дом вице-короля,драматический фильм,Гуриндер Чадха,,"10 августа,2017"
Дом вверх дном,романтическая комедия,Адам Шенкман,,2003
Дом ветра,Драма,Вячеслав Златопольский,Россия,2011
Дом в сугробах,"драма, экранизация",Фридрих Эрмлер,СССР,1928
Дом в конце улицы,"ужасы,триллер",[en],,"2012,17 января,2013"
Дом в конце времён,,Алехандро Идальго,,
Дом большой мамочки 2,"боевик,комедия",Джон Уайтселл,США,2006
Дом Большой Мамочки,"боевик,комедия",Раджа Госнелл,США,2000
Дом большой куклы,"драма,«женщины-в-тюрьме»",Джек Хилл,,1971
Дом без выхода,,Дзидра Ритенберга,СССР,1988
Дом без адреса,"драма,триллер",Андрей Холенко,Россия,2010
Дом Ашеров,триллер,Алан Биркиншоу,США,1989
Дом Арчера,Комедия,Дина Гахман,,2007
Дом 1000 трупов,"Фильм ужасов,чёрная комедия,фантастика",Роб Зомби,США,2003
Дом 13 по улице Мадлен,"Шпионский фильм,Фильм нуар",Генри Хэтэуэй,США,1947
Дом 4,триллер,Льюис Абернати,США,1992
Дом ужасов,фильм ужасов,Джеймс Исаак,США,"1989,24 августа,1989"
Дом,"фильм ужасов,комедия",Стив Майнер,,1985
Дом 2: Проклятая обитель,"фильм ужасов,комедия",Этан Уайли,,1987
Дом,драматический фильм,Фин Трох,,2016
Дом,"комедия ужасов,фильм ужасов",[en],,1977
Дом,"фильм-спектакль, драма, экранизация",",, ",СССР,1982
Дом,документальный,Ян Артюс-Бертран,Франция,2009
"Доля ты русская, долюшка женская",[d],Борис Николаевич Светлов,,1922
Доля ангелов,"комедия,драма",Кен Лоуч,"Великобритания,Франция,Бельгия,Италия",2012
Дольше жизни,,"Дарья Виолина,Сергей Павловский",,2013
Дом,"боевик,драма",Олег Погодин,Россия,2011
Доля секунды,"нуар,Триллер",Дик Пауэлл,,1953
Долтри Кэлхун,"драма,комедия",Катрина Холден Бронсон,,2005
Долорес Клэйборн,детектив,Тейлор Хэкфорд,США,1995
Долина цветов,"приключенческий фильм,драма,мелодрама",Налин Пан,,"15 июля,2006,31 мая,2007"
Долина смерти,фильм ужасов,Байрон Вернер,США,2004
Долина роз,драма,Дмитрий Черкасов,"Россия,Латвия",2011
Долина предков,драма,Кадыржан Кыдыралиев,СССР,1989
Долина любви,Драма,Гийом Никлу,"Франция,Бельгия",2015
Долина гигантов,[1],Джеймс Круз,США,1919
Долина кукол,драма,Марк Робсон,США,1967
Долина Гванги (Месть динозавров),"фантастика,триллер,вестерн",Джеймс О'Коннолли,США,1969
Долина волков: Палестина,"боевик,приключения",Зюбейр Шашмаз,Турция,2011
Долина волков: Ирак,"боевик,приключения","Сердар Акар, Sadullah Sentürk",Турция,2006
Долина,драма,Барбе Шрёдер,Франция,1972
Долина волков,"боевик,триллер,криминал",Alican Gebeş,Турция,
Долгота,"исторический фильм,драма",Чарльз Старридж,Великобритания,2000
Долгожданный рассвет,Драма,Саверио Костанцо,Италия,2023
Долгое-долгое детство,драма,Булат Юсупов,Россия,2005
Долгое путешествие к морю,драма,Альгирдас Араминас,СССР,1976
Долгое прощание,драматический фильм,Анил Кариа,,2020
Долгое прощание,драма,Сергей Урсуляк,,2004
Долгое прощание,"детектив,триллер",Роберт Олтмен,США,1973
Долгое падение,"комедийный фильм,[5],драматический фильм,[d]","Паскаль Шомей,[5],[6],[…]",,"10 февраля,2014,3 апреля,2014,29 мая,2014"
Долгое ожидание,Фильм нуар,Виктор Сэвилл,США,1954
Долгое жаркое лето,драма,Мартин Ритт,,1958
Долговая яма,комедия,Ричард Бенджамин,США,1986
Долгий путь к свободе,"биография,драма",[en],"Великобритания,ЮАР",2013
Долгий уикенд,"психологический триллер,драма",Колин Эгглстон,,1978
Долгий путь домой,драма,Джон Форд,,"1940,8 октября,1940,22 ноября,1940"
Долгий млечный путь,драма,Амангельды Тажбаев,СССР,1983
Долгий день уходит в ночь,"драма,экранизация",Сидни Люмет,США,1962
Долгий путь в лабиринте,приключения,Василий Левин,СССР,1981
Долгий поцелуй на ночь,боевик,Ренни Харлин,США,1996
Долгий путь,Драма,"Валентин Невзоров,Леонид Гайдай",СССР,"На Дерибасовской хорошая погода, или На Брайтон-Бич опять идут дожди"
Долгие проводы,драма,Кира Муратова,СССР,1971
Долгие вёрсты войны,Драма,Александр Карпов,СССР,1975
Долги наши,драма,Борис Яшин,СССР,1977
Долгая счастливая жизнь,драма,Борис Хлебников,Россия,2013
Долгая Страстная пятница,"криминальный фильм,драма,триллер",Джон Маккензи,Великобритания,1980
Долгая счастливая жизнь,"драма,мелодрама",Геннадий Шпаликов,СССР,
Долгая разлука,"драматический фильм,[d]",Фазиль,,1985
Долгая разлука,"музыкальный фильм,мелодрама,драма",Фазиль,Индия,1984
Долгий дом,драма,Джеймс Франко,США,
Долгая прогулка Билли Линна в перерыве футбольного матча,"драма,военный",Энг Ли,США,2016
Долгая ночь,"военный,драма",Януш Насфетер,Польша,1967
Долгая ночь,Фильм нуар,Джозеф Лоузи,США,1951
Долгая помолвка,"драма,исторический фильм,любовный роман,военный фильм",Жан-Пьер Жёне,"Франция,США,Бельгия,Франция,США,Россия,Канада,Австралия,Новая Зеландия,Нидерланды,Исландия,Дания,Финляндия,Великобритания,Германия,Португалия,Швейцария,Австрия,Греция,Испания,Швеция,Филиппины,Венгрия,Болгария,Эстония,Чехия,Италия,Панама,Польша,Сингапур,Китайская Республика,Уругвай,Чили,Бразилия,Япония,Израиль,Республика Корея,Япония,Таиланд,Мексика,Гонконг,Турция,Гонконг,Аргентина,Венесуэла",2004
Долгая дуэль,"драма,приключения,боевик",Кен Э́ннакин,Великобритания,1967
Долгая дорога домой (2017),"Мистика,Триллер,Драма,саундтрек",Анатолий Пасичник,"Россия,Россия",2017
Долгая ночь,Драма,Парвиз Сайяд,,1977
Долгая дорога к себе,мелодрама,Наталья Трощенко,СССР,1983
Документ Р,"детектив,драма",Валерий Харченко,СССР,1985
Долг в любви,мелодрама,Варис Брасла,СССР,1984
Долг,историческая драма,Анатолий Ниточкин,СССР,1977
Дневник Аурелии Лафлам,"фэнтези,семейный",Кристиан Лоуренс,Канада,2009
,,,,
Дневная смена,"фильм о вампирах,боевик,комедия ужасов","Перри, Джей Джей",,2022
Дневник безумной черной женщины,"драма,мелодрама,комедия",Даррен Грант,"США,Франция,Исландия,Бразилия,Великобритания,Польша,Нидерланды,Германия,Италия,Россия,Франция,Швеция",2005
Дневник Анны Франк,"драматический фильм,[1],[2],биографический фильм,военный фильм,[d],история взросления",Джордж Стивенс,США,"18 марта,1959,18 марта,1959,1959"
Дмитро Горицвит,драма,Николай Макаренко,,1961
Дмитрий II,Историческая драма,Рамаз Хотивари,СССР,1982
Дневная красавица,"драма,эротика,[1]",Луис Бунюэль,"Франция,Италия",1967
Дмитрий Кантемир,"исторический фильм,приключенческий фильм",", ",СССР,1973
Для чего служит медведь?,комедия,Том Фернандес,,2011
Для Саши,драма,Александр Аркади,Франция,1991
Дмитрий Шостакович. Альтовая соната,"документальный фильм,биографический фильм","Семён Давидович Аранович,Александр Николаевич Сокуров",,1986
ДМБ,"комедия,чёрный юмор,артхаус",Роман Качанов,Россия,2000
Для Самы,документальный фильм,Эдвард Уоттс,,"11 марта,2019"
Для неё,драма,Фред Кавайе,Франция,2008
Для наших ребят,драма,Марк Райделл,США,1991
Для любителей решать кроссворды,Детектив,Баадур Цуладзе,СССР,
Для кого танцует Гавана,, (асс.),Чехословакия,1963
Длинный день,драма,Рафаил Гольдин,СССР,1961
"Длинный, длинный трейлер","комедия,мелодрама",Винсент Миннелли,,1954
Длинные штаны,комедия,Фрэнк Капра,,1927
Длинные зубы,драма,Даниель Желен,Франция,1955
Длинноногий папочка,комедия,Маршалл Нилан,,1919
Длинноногий папочка,"драма,мелодрама,мюзикл",Жан Негулеско,США,1955
"Длинное, длинное дело…",детектив,", ",СССР,1976
Длинная серая линия,"биографическая,драма,комедия",Джон Форд,США,1955
Преступники Кантона и Гонконга,"боевик,криминальный фильм,триллер",[zh],Гонконг,1984
Длинная ночь,Фильм нуар,Анатоль Литвак,США,
Длинная дорога в короткий день,драма,Тимофей Левчук,СССР,1972
Длина волны,"научно-фантастический фильм,[1]",Майк Грэй,,1983
Дичь,"фильм ужасов,комедия",Кристофер Лэндон,США,2020
Дитя человеческое,"приключенческий фильм,драма,фантастика,триллер,антиутопия",Альфонсо Куарон,"Великобритания,США",2006
Дитя человеческое,,Янис Стрейч,Латвия,1991
Дитя тьмы: Первая жертва,психологический триллер,Уильям Брент Белл,США,2022
"Дитя тьмы, дитя света",фильм ужасов,Марина Сэрженти,США,1991
Дитя тьмы,"психологический триллер,ужасы",Жауме Кольет-Серра,"США,Канада,Германия,Франция",2009
Дитя субботнего вечера,"мелодрама,кинокомедия",А. Эдвард Сазерленд,,1929
Дитя с Марса,драма,Менно Мейес,США,2007
Дитя рыбы,"драма,Мелодрама,триллер",Лусия Пуэнсо,"Аргентина,Франция,Испания",2009
Дитя робота,"фантастика,триллер",Грант Спьютор,Австралия,
Дитя Осириса,"научная фантастика,приключения,боевик,триллер",Шейн Эббесс,Австралия,2016
Дитя Монте-Карло,комедийный фильм,Жан Буайе,,1951
Дитя Макона,драма,Питер Гринуэй,"Великобритания,Франция,Германия,Бельгия,Нидерланды",1993
Дитя луны,"фантастика, про вампиров",Такахиса Дзэдзэ,Япония,2003
Дитя дьявола,фильм ужасов,Майкл Мохан,,"22 марта,2024"
Дитя большого города,"драма,мелодрама",Евгений Бауэр,Российская империя,1914
Дитя во времени,драма,Джулиан Фарино,,
Дитя,драма,"Жан-Пьер Дарденн, Люк Дарденн",Бельгия,2005
Дитя божье,драма,Джеймс Франко,США,2013
Дитте — дитя человеческое,социальный реализм,Бьярне Хеннинг-Енсен,,1946
Дита Саксова,психологическая драма,Антонин Москалик,Чехословакия,1968
Дисциплина и человечность,драма,,Франция,1910
,,,,
Дискосвиньи,драма,Кирстен Шеридан,Ирландия,2001
Дирижёр,драма,Павел Лунгин,Россия,2012
Диссидент,"психологическая,драма",Валериу Жереги,СССР,1988
Диско,комедия,Фабьен Онтеньенте,Франция,2008
Дирижёр,драма,Анджей Вайда,,1979
Диспут,драма,Бернт Капра,"США,Швейцария",1991
Дракула против Франкенштейна,фильм ужасов,Хесус Франко,"Франция,Испания",1972
Дракула восстал из могилы,Ужасы,Фредди Фрэнсис,Великобритания,1968
Дракула 3000,"ужасы,фантастика,триллер,фильм о вампирах",Даррелл Рудт,"США,ЮАР",2004
Дракула 2000,Фильм о вампирах,Патрик Люссье,США,2000
Дракула 3D,"мелодрама,триллер,ужасы",Дарио Ардженто,"Франция,Италия,Испания",2012
Дракула 3: Наследие,фильм о вампирах,Патрик Люссье,США,2005
Дракула,"тёмное фэнтези,боевик,фильм ужасов",Гарри Шор,США,2014
,,,,
Другая жизнь,драма,Расим Оджагов,СССР,1987
Другая женщина,"эротика,триллер,драма",Джаг Мундра,США,1992
Другая Земля,"драма,научная фантастика",Майк Кэхилл,США,2011
Другая женщина,комедия,Ник Кассаветис,США,2014
Другая жизнь,,,,2017
Дракула 2: Вознесение,фильм о вампирах,Патрик Люссье,,2003
Другая женщина,драма,Вуди Аллен,США,"1988,16 марта,1989"
Духов день,"мистика,драма",Сергей Сельянов,СССР,1990
Другая женщина,Фильм нуар,Гуго Гаас,США,1954
Дух улья,драма,Виктор Эрисе,Испания,1973
Дух студента,комедия,Алан Холлеб,США,1985
Дух Сент-Луиса,"драма,биография",Билли Уайлдер,,1957
